group,score
场景 A,28.02449
场景 A,34.53582
场景 A,35.9304
场景 A,44.24788
场景 A,34.39187
场景 A,34.1865
场景 A,36.82405
场景 A,40.99781
场景 A,34.72785
场景 A,37.42479
场景 A,34.08881
场景 A,40.20034
场景 A,37.01091
场景 A,34.30565
场景 A,42.27552
场景 A,37.48386
场景 A,35.91992
场景 A,36.63842
场景 A,37.79138
场景 A,45.37159
场景 A,35.51536
场景 A,42.59439
场景 A,39.71658
场景 A,44.68067
场景 A,40.46824
场景 A,41.02565
场景 A,39.21167
场景 A,40.8658
场景 A,42.76157
场景 A,40.74623
场景 A,43.46826
场景 A,33.62875
场景 A,40.50353
场景 A,44.3287
场景 A,37.83681
场景 A,41.45021
场景 A,34.50812
场景 A,41.06445
场景 A,40.80616
场景 A,46.40915
场景 A,45.41797
场景 A,34.12557
场景 A,51.03538
场景 A,43.31282
场景 A,37.00998
场景 A,37.64272
场景 A,44.06608
场景 A,44.71756
场景 A,44.849
场景 A,34.31473
场景 A,47.26225
场景 A,36.0696
场景 A,36.80779
场景 A,39.56242
场景 A,39.83515
场景 A,42.09928
场景 A,47.9305
场景 A,41.75147
场景 A,27.029
场景 A,33.29414
场景 A,45.83515
场景 A,27.73633
场景 A,39.42884
场景 A,41.84866
场景 A,32.13802
场景 A,33.89306
场景 A,40.96881
场景 A,27.61537
场景 A,35.29965
场景 A,41.86045
场景 A,33.05291
场景 A,34.88594
场景 A,44.66587
场景 A,29.30268
场景 A,38.33965
场景 A,38.71044
场景 A,39.55725
场景 A,37.53926
场景 A,45.06941
场景 A,33.67934
场景 A,36.10339
场景 A,49.86451
场景 A,39.33318
场景 A,45.1733
场景 A,45.90919
场景 A,38.39909
场景 A,38.14789
场景 A,43.86363
场景 A,37.69441
场景 A,39.97473
场景 A,40.97225
场景 A,47.66764
场景 A,45.73719
场景 A,34.04423
场景 A,36.9998
场景 A,43.34652
场景 A,41.53831
场景 A,39.668
场景 A,37.01345
场景 A,35.67418
场景 A,37.01087
场景 A,35.04171
场景 A,43.60896
场景 A,35.03017
场景 A,36.77234
场景 A,45.24323
场景 A,38.94446
场景 A,44.62641
场景 A,30.43136
场景 A,38.96853
场景 A,36.31291
场景 A,36.56035
场景 A,35.10382
场景 A,36.67366
场景 A,39.00362
场景 A,44.62488
场景 A,38.08331
场景 A,36.63649
场景 A,39.06699
场景 A,41.79344
场景 A,36.94572
场景 A,38.37568
场景 A,46.02311
场景 A,37.05208
场景 A,45.05253
场景 A,38.92456
场景 A,44.05983
场景 A,39.14608
场景 A,34.12272
场景 A,34.13851
场景 A,38.4804
场景 A,39.39682
场景 A,44.69704
场景 A,37.26131
场景 A,37.16353
场景 A,42.49952
场景 A,44.79114
场景 A,39.03486
场景 A,33.78794
场景 A,36.3843
场景 A,36.21205
场景 A,41.41656
场景 A,30.84306
场景 A,34.84261
场景 A,47.454
场景 A,44.55399
场景 A,38.64062
场景 A,42.945
场景 A,41.43694
场景 A,42.5394
场景 A,38.65932
场景 A,48.72997
场景 A,36.89704
场景 A,44.02985
场景 A,34.26195
场景 A,35.38113
场景 A,40.18538
场景 A,38.05073
场景 A,41.02966
场景 A,38.03555
场景 A,26.96893
场景 A,36.39763
场景 A,42.83768
场景 A,40.87228
场景 A,32.32765
场景 A,43.59072
场景 A,37.35584
场景 A,37.4966
场景 A,35.57791
场景 A,33.63667
场景 A,47.8683
场景 A,52.60289
场景 A,49.64263
场景 A,58.00689
场景 A,49.73031
场景 A,49.49514
场景 A,53.15154
场景 A,43.97369
场景 A,50.27948
场景 A,52.46672
场景 A,49.38865
场景 A,53.58874
场景 A,50.37034
场景 A,53.30234
场景 A,57.22589
场景 A,56.84827
场景 A,56.04499
场景 A,52.33654
场景 A,54.90924
场景 A,53.13741
场景 A,53.52647
场景 A,47.18071
场景 A,58.48412
场景 A,52.53912
场景 A,53.53354
场景 A,49.39454
场景 A,52.67183
场景 A,55.10497
场景 A,50.63938
场景 A,56.80929
场景 A,54.53159
场景 A,50.6947
场景 A,50.29562
场景 A,53.29116
场景 A,53.4829
